"ZipCode","ZIP_AverageHomeValue","ZIP_AverageIncome","ZIP_Population","ZIP_LandArea"
21300,170000,48281,1530,245.883
45976,231700,84226,2212,23.546
26310,241000,43208,2271,63.955
36890,205400,65313,280,7.027
47355,199000,53948,10573,48.532
50263,240300,67188,1537,60.519
21772,174000,50642,4872,15.334
11660,184400,58869,3490,22.818
22193,102100,31273,26757,38.529
50650,157300,46499,43426,27.735
34836,238500,67491,19331,41.824
13638,109200,32813,9777,32.11
25471,137300,39680,5693,36.034
38396,94800,45523,2450,92.774
51910,168700,47342,10576,231.596
31564,147500,50080,9213,197.003
37716,165900,47586,18952,225.318
16633,98900,59667,1593,65.269
23430,117000,52538,3027,31.576
17702,104100,37315,3200,97.959
63700,100700,45313,1088,35.088
27950,116300,40395,9203,197.483
39280,113000,25714,1740,57.847
15122,155800,62386,4742,92.072
46320,99600,39154,32170,76.044
21821,110300,35390,28221,73.001
36988,102800,45574,4292,51.056
31189,165800,50641,7258,65.098
41481,235600,73487,20667,68.136
33605,99100,34556,1902,126.585
33722,119600,43036,3995,118.044
51572,119500,47537,2140,23.262
41721,221200,59242,3053,42.706
38403,90400,35772,7977,164.302
32480,119700,45191,6347,93.841
17677,99100,40026,5489,67.411
52288,96300,42763,1026,57.448
48600,85500,46250,1402,37.161
38449,109300,36402,1064,36.181
29417,159200,53575,1979,51.308
42060,140200,43451,16395,63.938
39070,154300,61250,3977,108.831
12915,86100,31975,5239,191.989
43030,99400,47050,1389,32.781
54850,121200,43055,5562,53.05
11634,140400,46362,9647,72.662
53860,197600,52403,8074,166.636
37420,159500,66019,1963,36.283
17705,103800,28125,1651,54.898
41012,109800,32153,1257,49.679
62070,121700,41563,1984,73.86
29130,110600,30192,606,46.788
11101,99000,40651,9301,48.144
15797,100100,34924,7630,103.968
39620,78900,33140,8061,128.046
29816,68200,21125,2774,76.768
87990,61500,24697,1028,49.425
19313,90400,36022,6774,65.615
13222,66900,30301,3533,42.123
53730,86200,32609,5953,19.071
46640,84900,35463,2760,44.268
29678,117500,44146,6314,157.063
38311,71400,31192,3404,68.452
92208,290100,70020,12414,3.835
57398,205400,96060,63140,37.161
47568,155300,56577,46364,16.887
79476,186400,78488,51624,11.646
96892,256400,92661,8785,95.417
10440,228100,78217,21607,8.067
71962,353000,122010,30347,14.979
89847,317900,114642,38666,16.472
80864,94300,47853,21872,62.565
75118,91000,41512,8036,60.257
97959,360000,149149,22545,19.211
10470,195500,77237,45452,9.421
56504,330100,88525,36039,12.637
52568,283200,109257,50926,9.326
98875,259300,110326,42226,15.146
59346,241500,96494,27986,51.311
92629,0,0,0,0
61090,330900,114629,72723,50.008
58866,261700,118550,47553,23.643
45667,0,0,0,0
87732,194900,46992,27802,13.371
81659,414500,82754,11032,5.247
88509,116000,57075,59406,15.654
62604,96600,39791,30700,8.001
46958,110400,41918,37881,7.481
66521,130300,56800,58094,14.528
10247,148600,60623,40811,10.74
75167,184200,93270,20328,10.484
82312,104000,47230,41041,24.734
92125,90300,39762,39285,12.125
61016,142000,72137,88996,26.157
70834,265800,113967,5053,5.434
91960,193100,80941,47852,25.245
65176,105500,49729,12900,10.171
65672,192100,65069,2982,57.64
59449,112500,49695,45980,13.261
96832,120800,41727,53442,11.563
60997,129300,48338,44537,10.991
72313,292800,83898,35090,15.179
77781,168400,74949,10748,7.945
66555,159200,57325,60982,13.292
77589,182000,88698,34934,27.45
54522,241400,96322,74734,23.929
57113,224600,88501,36090,78.799
94686,158000,59611,44622,16.515
10321,203000,71118,33262,9.854
69449,132500,53240,7378,49.749
66312,234500,101380,35330,13.953
58675,383800,124600,10592,32.732
81544,209100,66865,44009,11.43
66662,175400,67673,34156,9.228
46571,274900,117810,21182,7.832
65512,226600,94060,28145,26.182
82402,165400,84500,24712,8.825
50337,169500,88137,30251,11.082
71811,81000,37240,23724,77.053
90055,136500,55401,22839,113.332
45520,392200,102323,47187,14.121
68642,296100,117065,20579,6.973
70170,165400,82680,48197,32.943
89733,117700,45802,12851,199.451
76456,139900,68455,45373,39.088
86007,114400,64088,3658,116.29
91673,85100,41685,28132,149.947
46868,112600,57227,4660,43.249
91962,148000,60797,48877,21.936
70032,110400,45693,19669,5.124
94231,111200,42697,3722,46.898
87438,109900,46662,26601,264.753
72425,103400,49962,4446,93.082
87941,81600,48024,6691,69.67
65451,168100,82473,33396,77.344
99673,93000,45417,1593,26.58
96079,109500,49559,20276,10.22
98644,120200,67500,5910,62.166
85785,128000,56582,18861,6.093
73780,98300,40795,6958,112.259
79415,74000,38431,5374,11.405
98398,110800,52454,18982,173.426
51189,80500,42500,14619,177.84
50705,82100,34663,3291,171.771
83647,104700,55701,17993,33.189
76782,101900,43421,6602,93.752
86197,67800,32601,5842,87.509
74106,98600,45569,56065,15.883
78951,105600,46845,58730,12.744
71492,135000,53176,4606,40.742
47336,68000,36827,605,23.514
53081,147500,71279,36041,47.012
52838,73000,45323,2579,38.052
82749,93700,46097,14580,31.273
46135,137500,54661,4139,87.929
76613,91500,48180,18339,59.807
57651,113000,46232,23627,119.979
95179,103300,47433,6165,113.949
96259,106800,43378,2285,33.781
92092,143200,59542,37966,112.682
47879,197700,84543,3070,13.214
46372,197100,77123,8436,97.58
80929,87100,43581,14644,214.1
92913,56200,37683,3956,11.659
50329,159500,66622,4353,30.459
58349,80600,41340,23031,7.659
61161,147500,74324,25908,17.595
86458,311400,126250,5118,17.606
67214,163700,74575,22406,110.992
76324,458300,84817,9409,1.445
73906,222300,85089,1666,0.707
74215,69500,30394,15721,4.73
80152,300200,67569,26279,2.557
89206,1059600,125269,23061,4.349
10310,317100,58943,36248,4.256
50223,0,80610,9648,3.851
10380,153100,51152,30171,5.94
65539,542700,85721,13653,3.535
